BoletinMSP,Fecha,rango edad,Fallecido,Vivo
2,15/3/2020,<1 año,0,1
2,15/3/2020,1 - 4 años,0,1
2,15/3/2020,5 - 9 años,0,2
2,15/3/2020,10 - 14 años,0,0
2,15/3/2020,15 - 19 años,0,2
2,15/3/2020,20 - 49 años,0,19
2,15/3/2020,50 - 64 años,1,4
2,15/3/2020,> 65 años,1,6
3,16/3/2020,<1 año,0,1
3,16/3/2020,1 - 4 años,0,1
3,16/3/2020,5 - 9 años,0,3
3,16/3/2020,10 - 14 años,0,0
3,16/3/2020,15 - 19 años,0,3
3,16/3/2020,20 - 49 años,0,31
3,16/3/2020,50 - 64 años,1,9
3,16/3/2020,> 65 años,1,8
4,17/3/2020,<1 año,0,1
4,17/3/2020,1 - 4 años,0,1
4,17/3/2020,5 - 9 años,0,3
4,17/3/2020,10 - 14 años,0,3
4,17/3/2020,15 - 19 años,0,5
4,17/3/2020,20 - 49 años,0,90
4,17/3/2020,50 - 64 años,4,20
4,17/3/2020,> 65 años,1,19
8,19/3/2020,<1 año,0,2
8,19/3/2020,1 - 4 años,0,1
8,19/3/2020,5 - 9 años,0,5
8,19/3/2020,10 - 14 años,0,6
8,19/3/2020,15 - 19 años,0,8
8,19/3/2020,20 - 49 años,0,157
8,19/3/2020,50 - 64 años,3,43
8,19/3/2020,> 65 años,1,34
9,20/3/2020,<1 año,0,2
9,20/3/2020,1 - 4 años,0,2
9,20/3/2020,5 - 9 años,0,7
9,20/3/2020,10 - 14 años,0,9
9,20/3/2020,15 - 19 años,0,9
9,20/3/2020,20 - 49 años,0,220
9,20/3/2020,50 - 64 años,4,70
9,20/3/2020,> 65 años,1,43
12,21/3/2020,<1 año,0,3
12,21/3/2020,1 - 4 años,0,3
12,21/3/2020,5 - 9 años,0,9
12,21/3/2020,10 - 14 años,0,10
12,21/3/2020,15 - 19 años,0,12
12,21/3/2020,20 - 49 años,1,319
12,21/3/2020,50 - 64 años,5,107
12,21/3/2020,> 65 años,1,62
13,22/3/2020,<1 año,0,3
13,22/3/2020,1 - 4 años,0,4
13,22/3/2020,5 - 9 años,0,9
13,22/3/2020,10 - 14 años,0,13
13,22/3/2020,15 - 19 años,0,17
13,22/3/2020,20 - 49 años,1,479
13,22/3/2020,50 - 64 años,8,167
13,22/3/2020,> 65 años,5,83
15,23/3/2020,<1 año,0,3
15,23/3/2020,1 - 4 años,0,5
15,23/3/2020,5 - 9 años,0,11
15,23/3/2020,10 - 14 años,0,13
15,23/3/2020,15 - 19 años,0,19
15,23/3/2020,20 - 49 años,3,601
15,23/3/2020,50 - 64 años,9,209
15,23/3/2020,> 65 años,6,102
19,25/3/2020,<1 año,0,3
19,25/3/2020,1 - 4 años,0,6
19,25/3/2020,5 - 9 años,0,14
19,25/3/2020,10 - 14 años,0,15
19,25/3/2020,15 - 19 años,0,27
19,25/3/2020,20 - 49 años,6,728
19,25/3/2020,50 - 64 años,13,267
19,25/3/2020,> 65 años,10,122
